City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,jackson,42.4165,-122.8345,7.14,84,0,0.0,US,1713787447
84,fuyang,32.9,115.8167,20.17,62,60,0.91,CN,1713787249
85,buctzotz,21.2,-88.7833,20.93,96,2,1.14,MX,1713787450
86,lerwick,60.1545,-1.1494,9.0,70,64,7.8,GB,1713787452
87,ilulissat,69.2167,-51.1,2.2,91,100,2.58,GL,1713787196
88,tiksi,71.6872,128.8694,-8.72,94,100,6.99,RU,1713787454
89,lapa,-25.7697,-49.7158,18.14,66,0,1.63,BR,1713787456
90,sinop,41.7711,34.8709,16.72,56,15,4.07,TR,1713787457
91,lexington,37.9887,-84.4777,5.41,87,0,0.0,US,1713786760
92,christchurch,-43.5333,172.6333,9.39,84,75,1.54,NZ,1713787277
93,amboasary,-25.0333,46.3833,26.5,55,0,5.15,MG,1713787462
94,kotagiri,11.4333,76.8833,30.04,25,70,2.9,IN,1713787464
95,katsuren-haebaru,26.3369,127.8719,27.43,88,75,4.12,JP,1713787460
96,pizarro,4.9533,-77.366,24.95,90,100,1.44,CO,1713787468
97,papatowai,-46.5619,169.4708,7.32,83,52,4.1,NZ,1713787470
98,chulakkurgan,43.765,69.1814,25.09,28,46,3.78,KZ,1713787472
99,suva,-18.1416,178.4415,25.56,90,92,2.24,FJ,1713787416
100,chibougamau,49.9168,-74.3659,-14.6,68,71,4.84,CA,1713787475
101,guerrero negro,27.9769,-114.0611,14.27,93,0,3.61,MX,1713787477
102,miharu,37.4333,140.4833,13.73,91,100,1.12,JP,1713787478
103,keetmanshoop,-26.5833,18.1333,32.65,16,26,5.48,NA,1713787216
104,cabo san lucas,22.8909,-109.9124,23.62,58,0,0.89,MX,1713787209
105,turochak,52.2576,87.1224,8.86,68,94,3.3,RU,1713787485
106,humberto de campos,-2.5983,-43.4611,28.32,81,90,0.97,BR,1713787486
107,chinde,26.8418,88.0763,26.77,20,76,0.8,NP,1713787488
108,jijiga,9.35,42.8,25.85,45,69,1.32,ET,1713787490
109,hasaki,35.7333,140.8333,16.22,71,97,5.91,JP,1713787491
110,haiku-pauwela,20.9219,-156.3051,21.25,87,100,7.2,US,1713787493
111,pekan,3.4836,103.3996,27.73,83,99,1.93,MY,1713787221
112,fort bragg,35.139,-79.006,9.0,89,100,2.57,US,1713787496
113,st. john's,47.5649,-52.7093,7.31,95,100,0.45,CA,1713787498
114,valparaiso,-33.0393,-71.6273,18.41,68,75,0.0,CL,1713787499
115,carutapera,-1.195,-46.02,26.67,91,98,1.67,BR,1713787501
116,annaba,36.9,7.7667,17.98,63,40,6.69,DZ,1713787503
117,fale old settlement,-9.3852,-171.2468,29.19,76,2,2.77,TK,1713787508
118,tsiombe,-25.3,45.4833,28.45,44,0,5.54,MG,1713787510
119,minot,48.2325,-101.2963,8.12,42,0,6.69,US,1713787512
120,dire,12.2833,-10.9667,38.76,15,56,3.12,ML,1713787513
121,jalai nur,49.45,117.7,4.02,92,98,6.22,CN,1713787515
122,punta arenas,-53.15,-70.9167,5.06,81,40,5.66,CL,1713787516
123,badger,64.8,-147.5333,1.18,71,40,0.0,US,1713787518
124,yoichi,43.2039,140.7703,6.38,90,97,2.78,JP,1713787520
125,saynshand,44.8824,110.1163,9.4,22,40,7.89,MN,1713787215
